Key,zh_CN,en_US,Notes
UI_ROOM_SCORE_CHIPS,筹码,Chips,
UI_ROOM_SCORE_BUY-IN,买入,Buy-in,
UI_ROOM_SCORE_INCOME,收益,Income,
,,,
UI_GAME_ROUND_HAND,第{0}/{1}圈 第{2}/{3}轮,Round {0}/{1}  Hand {2}/{3},
UI_GAME_POT,底池,POT,
UI_GAME_POT_SIDE,边池 {0}:,Side Pot {0}:,
UI_GAME_CHECK,过牌,CHECK,
UI_GAME_CALL,跟注 {0},CALL {0},
UI_GAME_RAISE,加注,RAISE,
UI_GAME_FOLD,弃牌,FOLD,
UI_GAME_FOLD_MARK,弃牌,FOLD,
UI_GAME_RAISE_1/2,1/2池,1/2 Pot,
UI_GAME_RAISE_2/3,2/3池,2/3 Pot,
UI_GAME_RAISE_1/1,满池,1 Pot,
UI_GAME_RAISE_ALL_IN,All-in,All-in,
UI_GAME_RAISE_CONFIRM,确认,CONFIRM,
UI_GAME_HAND_TYPE,牌型：,Hand Type: ,
UI_GAME_AUTO,托管,AUTO,
UI_GAME_AUTO_MARK,托管中,AUTO,
UI_GAME_BET,跟注,BET,
UI_GAME_LOG,记录,LOG,
UI_GAME_ENERGY,能量,ENERGY,
UI_GAME_ENERGY_DES,"发动技能需要消耗能量，每当开始新的牌局即会自动恢复4点能量，上限10点
每局胜利的玩家会额外奖励2点能量","Using skills costs Energy Points. At the start of each hand, restore 4 points (max 10).
The winner of each hand gains an extra 2 points.",
UI_GAME_SCORE_TITLE,计分板,SCORE BOARD,
UI_GAME_STATUS_WAITING,等待中...,Waiting...,
UI_GAME_STATUS_MY_TURN,你的回合,Your turn,
UI_GAME_STATUS_DEALING,发牌中...,Dealing...,
UI_GAME_STATUS_PLAYER_TURN,玩家{0}的回合,{0}'s turn,
UI_GAME_STATUS_WIN_FOLD,{0}赢得{1}筹码 (对手弃牌),{0} wins {1} Chips (Others all fold),
UI_GAME_STATUS_WIN_POT,{0}赢得{1}筹码！！,{0} wins {1} Chips!!,
UI_GAME_STATUS_WIN_MAIN_POT,{0}赢得{1}筹码！！【主池】,{0} wins {1} Chips!![Main Pot],
UI_GAME_STATUS_WIN_SIDE_POT,{0}赢得{1}筹码！！【边池{2}】,{0} wins {1} Chips!![Side Pot {2}],
UI_GAME_SCORE_OVER_TITLE,游戏结束,GAME OVER,
UI_GAME_SCORE_RANK,排名,No.,
UI_GAME_SCORE_PLAYER,玩家,Player,
UI_GAME_SCORE_CHIPS,筹码,Chips,
UI_GAME_SCORE_BUY-IN,买入,Buy-in,
UI_GAME_SCORE_INCOME,收益,Income,
UI_GAME_SCORE_REWARD,奖励,Rewards,
UI_GAME_SCORE_LOBBY,返回大厅,RETURN LOBBY,
UI_GAME_SCORE_ROOM,返回房间,RETURE ROOM,
UI_GAME_QUIT_HOST,警告：您是房主，离开游戏将解散房间，其他玩家将被迫返回大厅。确定离开吗？,"Warning: As the host, leaving will disband the room and return all players to the lobby. Are you sure you want to leave?",
UI_GAME_QUIT_NOMAL,您确定要离开游戏吗？,Are you sure you want to leave the game?,
UI_GAME_QUIT_CONFIRM,确认,CONFIRM,
UI_GAME_QUIT_CANCEL,取消,CANCEL,
UI_GAME_CANT_FOLD,被精神控制，无法弃牌,Can't Fold due to [Mind Control],
,,,
UI_SHOP_TITLE,商店,SHOP,
UI_SHOP_RETURN,返回,RETURN,
UI_SHOP_TAB_SPECIAL,特殊,SPECIAL,
UI_SHOP_TAB_DIAMONDS,钻石,DIAMONDS,
UI_SHOP_TAB_CHIPS,筹码,CHIPS,
UI_SHOP_TAB_SKILLS,技能,SKILLS,
UI_SHOP_TAB_ITEMS,道具,ITEMS,
UI_SHOP_BUY_BTN_CONFIRM,确认,CONFIRM,
UI_SHOP_BUY_BTN_CANCEL,取消,CANCEL,
UI_SHOP_BUY_CONFIRM,是否确认消耗{0}{1}购买[{2}]？,Would you like to spend {0} {1} to buy [{2}]?,
UI_SHOP_BUY_INSUFFICIENT,钻石不足，无法购买,Not enough Diamonds,
UI_SHOP_DIAMOND,钻石,Diamonds,
UI_SHOP_CHIP,筹码,Chips,
UI_SHOP_ERROR,购买失败（{0}）,FAILED ({0}),
,,,
UI_INFO_TITLE,信息,INFO,
UI_INFO_RETURN,返回,RETURN,
UI_INFO_PLAYER_ID,玩家ID：,Player ID: ,
UI_INFO_HAND_COUNT,牌局总数：,Total Hand: ,
UI_INFO_WIN_HAND_COUNT,获胜牌局：,Win Hand: ,
UI_INFO_MATCH_COUNT,比赛总数：,Total Match: ,
UI_INFO_WIN_MATCH_COUNT,获胜比赛：,Win Match: ,
UI_INFO_TOTAL_INCOME,总收益：,Total Income: ,
UI_INFO_HIGHEST_INCOME,最高收益：,Highest Income: ,
UI_INFO_BEST_HAND,最佳牌型,Best Hand,
UI_INFO_SKILL,技能一览,SKILLS,
UI_INFO_ITEM,道具一览,ITEMS,
UI_INFO_LOCKED,未解锁,LOCKED,
UI_INFO_NO_RECORD,暂无记录,No Record,
,,,
UI_ACHV_TITLE,成就,ACHIEVEMENT,
UI_ACHV_RETURN,返回,RETURN,
UI_ACHV_CLAIM,领取奖励,CLAIM,
UI_ACHV_CLAIMED,已领取,CLAIMED,
,,,
UI_RANK_TITLE,排行榜,RANK,
UI_RANK_NO,排名,No.,
UI_RANK_PLAYER,玩家,Player,
UI_RANK_TOTAL_CHIPS,总资产,Chip Asset,
,,,
UI_OTHER_REWARD_TITLE,获得奖励,GET REWARDS,
,,,
HAND_ROYAL_FLUSH,皇家同花顺,Royal Flush,
HAND_STRAIGHT_FLUSH,同花顺 [{0}高],Straight Flush [{0} High],
HAND_FOUR_OF_A_KIND,四条 [{0}],Four of a Kind [{0}],
HAND_FULL_HOUSE,葫芦 [{0}带{1}],Full House [{0} Full of {1}],
HAND_FLUSH,同花 [{0}高],Flush [{0} High],
HAND_STRAIGHT,顺子 [{0}高],Straight [{0} High],
HAND_THREE_OF_A_KIND,三条 [{0}],Three of a Kind [{0}],
HAND_TWO_PAIR,两对 [{0}-{1}],Two Pair [{0} & {1}],
HAND_PAIR,一对 [{0}],One Pair [{0}],
HAND_HIGH_CARD,高牌 [{0}],High Card [{0}],
HAND_UNKNOWN,未知牌型,Unknown,
,,,
SKILL_NAME_1,抵抗,RESIST,
SKILL_DESC_1,其他玩家向你发动技能期间显示提示，可消耗同等能量使其发动失败,"When targeted by a Skill, get notified and you can spend equal Energy to resist it",
SKILL_NAME_2,感应,SENSE,
SKILL_DESC_2,显示其他玩家当前能量，且当其他玩家发动技能时显示提示,"Reveals all Players' Energy, and notifies you whenever any player uses a Skill",
SKILL_NAME_3,透视,PEEK,
SKILL_DESC_3,选择一张对手底牌或公牌发动，这张牌显示3秒,Choose one hole card (Opponent) or community card: Reveal it for 3 seconds,
SKILL_NAME_4,变牌,CHANGE,
SKILL_DESC_4,选择场上玩家一张底牌发动，将这张牌替换为剩余牌库中的某张牌,Choose one hole card (Any): Replace it with a random card from the deck,
SKILL_NAME_5,模糊,BLUR,
SKILL_DESC_5,选择一名玩家，该玩家这局游戏无法看清手牌和公牌,Choose an Opponent: Blur their hole cards and the community cards,
SKILL_NAME_6,干扰,INTERFERE,
SKILL_DESC_6,选择一名玩家，该玩家这局游戏发动技能有35%概率失败，可叠加,"Choose an Opponent: Each time they use a Skill, it has a 35% chance to fail (Stackable)",
SKILL_NAME_7,颠倒,UPSIDE DOWN,
SKILL_DESC_7,选择一名玩家，该玩家这局游戏画面颠倒,Choose an Opponent: Flip their screen upside down,
SKILL_NAME_8,迟钝,SLOW,
SKILL_DESC_8,选择一名玩家，该玩家这局游戏所有技能的发动时间x2,Choose an Opponent: All their Skill activation time x2,
SKILL_NAME_9,枷锁,CHAIN,
SKILL_DESC_9,选择一名玩家，该玩家这局游戏只能再使用3次技能,Choose an Opponent: They can only use Skills 3 more times this hand,
SKILL_NAME_10,共鸣,RESONANCE,
SKILL_DESC_10,如果场上其他玩家有和你同类的牌型，这些牌会进行闪烁,"If any Opponent holds the same hand rank as you, their hole cards glitter",
SKILL_NAME_11,援助,HELP,
SKILL_DESC_11,选择一名玩家，恢复该玩家3点能量,Choose an Opponent: Restore 3 Energy to them,
SKILL_NAME_12,封印,SEAL,
SKILL_DESC_12,选择场上任意一张底牌发动，这张牌被遮挡，且免疫[透视]、[变牌]、[交换],"Choose one hole card (Any): Conceal it and make it immune to [PEEK], [CHANGE], and [SWAP]",
SKILL_NAME_13,灵机,IDEA,
SKILL_DESC_13,发动后该技能会随机变成其他任意技能,This Skill will randomly transform into any other Skill,
SKILL_NAME_14,透支,OVERDRAW,
SKILL_DESC_14,能量恢复至最大，但接下来三局游戏无法使用任何技能（包括[抵抗]）,"Restore Energy to max, but cannot use any Skill for the next 3 hands (Including [RESIST])",
SKILL_NAME_15,交换,SWAP,
SKILL_DESC_15,选择场上任意2张底牌发动，将这两张牌进行调换,Choose two hole cards (Any): Swap them,
SKILL_NAME_16,许愿,WISH,
SKILL_DESC_16,发动后下一局游戏的2张底牌必定是JQKA,"Guarantees your hole cards in the next hand will be J, Q, K, or A",
SKILL_NAME_17,重力场,GRAVITY FIELD,
SKILL_DESC_17,这局游戏场上能量最高的玩家所有技能能量消耗+2,To all Players: The player with the highest Energy must spend 2 extra Energy to use Skills,
SKILL_NAME_18,戏法空间,TRICK ZONE,
SKILL_DESC_18,这局游戏场上所有玩家所有技能的能量消耗随机增加或降低0-2点,To all Players: The Energy cost of all skills randomly changes by ±0-2,
SKILL_NAME_19,反射壁,REFLECT WALL,
SKILL_DESC_19,发动后这局游戏受到其他玩家的技能时，技能会被反弹给其他任意一名玩家,"If an Opponent uses a Skill on you, it is reflected to a random Opponent",
SKILL_NAME_20,精神控制,MIND CONTROL,
SKILL_DESC_20,选择一名玩家，该玩家这局游戏无法[弃牌],Choose an Opponent: They cannot [FOLD] for the rest of this hand,
,,,
TRINKET_NAME_1,项链,NECKLACE,
TRINKET_DESC_1,能量上限+5,Max Energy +5,
TRINKET_NAME_2,烟斗,PIPE,
TRINKET_DESC_2,能量恢复+1,Energy recovery +1,
TRINKET_NAME_3,奖牌,MEDAL,
TRINKET_DESC_3,能量恢复-1，获胜则下轮游戏能量上限+3，并恢复全部能量,"Energy recovery -1. If you win this hand, Max Energy +3 and fully restore Energy next hand",
TRINKET_NAME_4,怀表,WATCH,
TRINKET_DESC_4,所有技能发动时间-70%,Skill activation time -70%,
TRINKET_NAME_5,啤酒,BEER,
TRINKET_DESC_5,每次[加注]恢复1点能量,Restores 1 Energy every time you [RAISE],
TRINKET_NAME_6,磁线圈,COIL,
TRINKET_DESC_6,能量上限-6，能量恢复-2，每当其他玩家成功发动技能，恢复1点能量（不包括[抵抗]）,"Max Energy -6, Energy Recovery -2. Restores 1 Energy whenever an Opponent uses a Skill (Excluding [RESIST])",
TRINKET_NAME_7,兽爪,CLAW,
TRINKET_DESC_7,如果只选择了2个技能，对方抵抗这两个技能需要额外消耗1点能量,"If you only equip 2 Skills, Opponents need 1 extra Energy to resist them",
TRINKET_NAME_8,斗篷,CLOAK,
TRINKET_DESC_8,[抵抗]能量消耗-1,[RESIST] Energy cost -1,
TRINKET_NAME_9,天线,ANTENNA,
TRINKET_DESC_9,[感应]不消耗能量且显示玩家饰品,[SENSE] costs 0 Energy and reveals Opponents' Items,
TRINKET_NAME_10,帽子,HAT,
TRINKET_DESC_10,发动技能时不会被[感应]效果感知,Immune to Opponents' [SENSE] effect,
TRINKET_NAME_11,镜片,GLASS,
TRINKET_DESC_11,[透视]将会额外随机显示场上一张牌,[PEEK] reveals 1 additional random card,
TRINKET_NAME_12,眼药,EYEDROP,
TRINKET_DESC_12,[透视]显示时间提升至60秒,[PEEK] duration extended to 60 seconds,
TRINKET_NAME_13,戒指,RING,
TRINKET_DESC_13,[变牌]和[交换]可以对公牌使用,[CHANGE] and [SWAP] can target community cards,
TRINKET_NAME_14,音叉,TUNE FORK,
TRINKET_DESC_14,[干扰]的技能效果+25%,[Interfere] failure chance +25%,
TRINKET_NAME_15,香薰,INCENSE,
TRINKET_DESC_15,[迟钝]的技能效果改为x3,[SLOW] activation time becomes x3,
TRINKET_NAME_16,仙女棒,WAND,
TRINKET_DESC_16,第一次使用[灵机]变化的技能时能量消耗-2,"The First use of the Skill transformed by [IDEA], the Energy cost -2",
TRINKET_NAME_17,可乐,COLA,
TRINKET_DESC_17,[透支]的技能禁用时间减为2局,[OVERDRAW] Skill disable duration reduced to 2 hands,
TRINKET_NAME_18,神像,STATUE,
TRINKET_DESC_18,[许愿]获得的牌必定是QKA（与[魔像]互斥）,"[WISH] guaranteed cards become Q, K, or A (Incompatible with [GOLEM])",
TRINKET_NAME_19,魔像,COLEM,
TRINKET_DESC_19,[许愿]获得的牌必定能凑成三条，但该局无法加注（与[神像]互斥）,"[WISH] guaranteed cards will form a [Three of a Kind], but you cannot [RAISE] this hand (Incompatible with [STATUE])",
TRINKET_NAME_20,袖章,ARMBAND,
TRINKET_DESC_20,当玩家为场上亏损最高时，所有技能能量消耗-2（最低为1）,"When you have the largest Chip loss at the table, all Skill Energy costs -2 (Min 1)",
,,,
SHOPITEM_SPEC_NAME_1,快速解锁礼包,Quick Unlock Pack,
SHOPITEM_SPEC_DESC_1,立刻解锁全部技能和饰品，并获得1200钻石,"Unlock all Skills and Items, and get 1200 Diamonds immediately",
SHOPITEM_SPEC_NAME_2,每日钻石升级,Daily Diamonds Boost,
SHOPITEM_SPEC_DESC_2,每日钻石奖励提升至200，永久有效,Permanently increase daily Diamonds gifts to 200,
SHOPITEM_DIAM_NAME_1,300钻石,300 DIAMONDS,
SHOPITEM_DIAM_DESC_1,获得300钻石,Get 300 Diamonds,
SHOPITEM_DIAM_NAME_2,630钻石,630 DIAMONDS,
SHOPITEM_DIAM_DESC_2,获得630钻石,Get 630 Diamonds,
SHOPITEM_DIAM_NAME_3,1650钻石,1650 DIAMONDS,
SHOPITEM_DIAM_DESC_3,获得1650钻石,Get 1650 Diamonds,
SHOPITEM_DIAM_NAME_4,3500钻石,3500 DIAMONDS,
SHOPITEM_DIAM_DESC_4,获得3500钻石,Get 3500 Diamonds,
SHOPITEM_DIAM_NAME_5,5600钻石,5600 DIAMONDS,
SHOPITEM_DIAM_DESC_5,获得5600钻石,Get 5600 Diamonds,
SHOPITEM_DIAM_NAME_6,8000钻石,8000 DIAMONDS,
SHOPITEM_DIAM_DESC_6,获得8000钻石,Get 8000 Diamonds,
SHOPITEM_DIAM_NAME_7,12600钻石包,12600 DIAMONDS,
SHOPITEM_DIAM_DESC_7,获得12600钻石,"Get 12,600 Diamonds",
SHOPITEM_DIAM_NAME_8,22000钻石包,22000 DIAMONDS,
SHOPITEM_DIAM_DESC_8,获得22000钻石,"Get 22,000 Diamonds",
SHOPITEM_CHIP_NAME_1,3000筹码,3000 CHIPS,
SHOPITEM_CHIP_DESC_1,获得3000筹码,Get 3000 Chips,
SHOPITEM_CHIP_NAME_2,6000筹码包,6000 CHIPS,
SHOPITEM_CHIP_DESC_2,获得6000筹码,Get 6000 Chips,
SHOPITEM_CHIP_NAME_3,10000筹码包,"10,000 CHIPS",
SHOPITEM_CHIP_DESC_3,获得10000筹码,"Get 10,000 Chips",
SHOPITEM_CHIP_NAME_4,30000筹码包,"30,000 CHIPS",
SHOPITEM_CHIP_DESC_4,获得30000筹码,"Get 30,000 Chips",
SHOPITEM_CHIP_NAME_5,50000筹码包,"50,000 CHIPS",
SHOPITEM_CHIP_DESC_5,获得50000筹码,"Get 50,000 Chips",
SHOPITEM_CHIP_NAME_6,100000筹码包,"100,000 CHIPS",
SHOPITEM_CHIP_DESC_6,获得100000筹码,"Get 100,000 Chips",
SHOPITEM_CHIP_NAME_7,300000筹码包,"300,000 CHIPS",
SHOPITEM_CHIP_DESC_7,获得300000筹码,"Get 300,000 Chips",
SHOPITEM_CHIP_NAME_8,500000筹码包,"500,000 CHIPS",
SHOPITEM_CHIP_DESC_8,获得500000筹码,"Get 500,000 Chips",
,,,
ACHV_TITLE_1,久经沙场1,VETERAN I,
ACHV_DESC_1,进行1场牌局,Play 1 hand of poker,
ACHV_TITLE_2,久经沙场2,VETERAN II,
ACHV_DESC_2,进行10场牌局,Play 10 hands of poker,
ACHV_TITLE_3,久经沙场3,VETERAN III,
ACHV_DESC_3,进行30场牌局,Play 30 hands of poker,
ACHV_TITLE_4,久经沙场4,VETERAN IV,
ACHV_DESC_4,进行100场牌局,Play 100 hands of poker,
ACHV_TITLE_5,久经沙场5,VETERAN V,
ACHV_DESC_5,进行300场牌局,Play 300 hands of poker,
ACHV_TITLE_6,久经沙场6,VETERAN VI,
ACHV_DESC_6,进行500场牌局,Play 500 hands of poker,
ACHV_TITLE_7,超能大师1,PSYCHIC MASTER I,
ACHV_DESC_7,使用1次技能,Use a Skill 1 time,
ACHV_TITLE_8,超能大师2,PSYCHIC MASTER II,
ACHV_DESC_8,使用10次技能,Use Skills 10 times,
ACHV_TITLE_9,超能大师3,PSYCHIC MASTER III,
ACHV_DESC_9,使用30次技能,Use Skills 30 times,
ACHV_TITLE_10,超能大师4,PSYCHIC MASTER IV,
ACHV_DESC_10,使用100次技能,Use Skills 100 times,
ACHV_TITLE_11,超能大师5,PSYCHIC MASTER V,
ACHV_DESC_11,使用300次技能,Use Skills 300 times,
ACHV_TITLE_12,超能大师6,PSYCHIC MASTER VI,
ACHV_DESC_12,使用500次技能,Use Skills 500 times,
ACHV_TITLE_13,攀登高峰1,REACH THE SUMMIT I,
ACHV_DESC_13,累计赢得100筹码,Win 100 Chips in total,
ACHV_TITLE_14,攀登高峰2,REACH THE SUMMIT II,
ACHV_DESC_14,累计赢得500筹码,Win 500 Chips in total,
ACHV_TITLE_15,攀登高峰3,REACH THE SUMMIT III,
ACHV_DESC_15,累计赢得2000筹码,Win 2000 Chips in total,
ACHV_TITLE_16,攀登高峰4,REACH THE SUMMIT IV,
ACHV_DESC_16,累计赢得5000筹码,Win 5000 Chips in total,
ACHV_TITLE_17,攀登高峰5,REACH THE SUMMIT V,
ACHV_DESC_17,累计赢得10000筹码,Win 10000 Chips in total,
ACHV_TITLE_18,攀登高峰6,REACH THE SUMMIT VI,
ACHV_DESC_18,累计赢得30000筹码,Win 30000 Chips in total,
ACHV_TITLE_19,一击必杀1,COUP DE GRACE I,
ACHV_DESC_19,以“两对”牌型赢得一场牌局,Win a hand with [Two Pair],
ACHV_TITLE_20,一击必杀2,COUP DE GRACE II,
ACHV_DESC_20,以“三条”牌型赢得一场牌局,Win a hand with [Three of a Kind],
ACHV_TITLE_21,一击必杀3,COUP DE GRACE III,
ACHV_DESC_21,以“顺子”牌型赢得一场牌局,Win a hand with [Straight],
ACHV_TITLE_22,一击必杀4,COUP DE GRACE IV,
ACHV_DESC_22,以“葫芦”牌型赢得一场牌局,Win a hand with [Full House],
ACHV_TITLE_23,一击必杀5,COUP DE GRACE V,
ACHV_DESC_23,以“同花”牌型赢得一场牌局,Win a hand with [Flush],
ACHV_TITLE_24,一击必杀6,COUP DE GRACE VI,
ACHV_DESC_24,以“四条”牌型赢得一场牌局,Win a hand with [Four of a Kind],
ACHV_TITLE_25,一击必杀7,COUP DE GRACE VII,
ACHV_DESC_25,以“同花顺”牌型赢得一场牌局,Win a hand with [Straight Flush],
,,,
TIP_NOT_ENOUGH_ENERGY,能量不足，无法发动技能！,Not enough energy to cast skill!,
TIP_SKILL_SILENCED,已被沉默或封印，无法发动技能！,Silenced or sealed! Cannot cast skills.,
TIP_SKILL_CAST_SUCCESS,成功发动了技能【{0}】！,Successfully cast [{0}]!,
TIP_TARGET_IMMUNE,目标处于免疫状态，技能发动失败！,Target is immune! Skill failed.,
TIP_RESIST_SUCCESS,成功抵抗了对手的技能！,Successfully resisted opponent's skill!,
TIP_NOT_ENOUGH_CHIPS,筹码不足！,Not enough chips!,
TIP_ROOM_FULL,房间人数已满！,The room is full!,
TIP_ROOM_JOIN_FAILED,加入房间失败，请重试！,Failed to join room. Please try again!,
TIP_LEAVE_ROOM_CONFIRM,确定要离开当前房间吗？,Are you sure you want to leave the room?,
TIP_LOGIN_FAILED,登录失败，请检查网络设置！,Login failed. Please check network connection!,
TIP_CLAIM_SUCCESS,恭喜领取奖励：{0} 钻石！,Successfully claimed reward: {0} Diamonds!,
TIP_CLAIM_ALREADY,该成就奖励已领取过！,Reward already claimed for this achievement!,
TIP_CLAIM_NOT_MET,该成就尚未达成，请继续加油！,Achievement requirements not yet met!,
,,,
MSG_SKILL_USE_SELF,正在发动技能[{0}]...,Using [{0}]...,玩家自己对其他人使用技能时
MSG_SKILL_USE_ENEMY,[{0}]正在对[{1}]发动技能[{2}]...,[{0}] is using [{2}] to [{1}],其他玩家对某人使用技能时
MSG_SKILL_USE_SUCCESS_SELF,[{0}]发动成功,Use [{0}] successfully,技能发动某技能成功
MSG_SKILL_USE_SUCCESS_ENEMY,[{0}]成功发动[{1}],[{0}] uses [{1}] successfully,某玩家成功发动某技能
MSG_SKILL_USE_FAIL_NO_ENERGY,能量不足,Insufficient Energy,能量不足时点击技能按钮
MSG_SKILL_USE_FAIL_BUSY,无法发动，对方正遭受其他技能,"Cannot use, the player is suffering other skill now",目标玩家正在受其他技能影响
MSG_SKILL_USE_FAIL_SEALED,无法发动，这张牌已被封印,"Cannot use, this Card is sealed",目标牌被封印
MSG_SKILL_USE_FAIL_SEALED_ALREADY,无法发动，这张牌已被封印,"Cannot use, this Card is sealed",目标牌被封印
MSG_SKILL_USE_FAIL_AUTO_PROTECT,无法对托管中玩家使用[精神控制],Cannot use to player in [Auto] mode,精神控制目标玩家正在托管中
MSG_SKILL_USE_FAIL_INTERGERE,由于[干扰]的效果，技能发动失败,"Due to [Interfere], your skill is failed",由于干扰的效果技能发动失败
MSG_SKILL_MIND_CONTROLED,由于[精神控制]的效果，本局无法弃牌,"Due to [Mind Control], you cannot [Fold] this hand",中了精神控制技能时
MSG_SKILL_RESIST_NO_ENERGY,能量不足，无法抵抗,"Cannot resist, insufficient Energy",能量不足时点击抵抗按钮
MSG_SKILL_RESIST,[{0}]成功抵挡住了[{1}]的[{2}],[{0}] resists [{2}] from [{1}] successfully,某玩家成功挡住了某玩家的某技能
MSG_SKILL_CHAINED,由于[枷锁]的效果，本局游戏只能再使用3次技能,"Due to [Chain], you can only use skill 3 times from now",中了枷锁技能时
MSG_SKILL_CHAINED_ALREADY,无法发动，该玩家已经受到[枷锁]效果,"Cannot use, this player is affected by [Chain] already",对已经受枷锁效果的玩家再次使用
MSG_SKILL_WISH_ENERGY_RETURN,已无满足许愿条件的牌，能量返还,"There is no enough card for [Wish}, Energies are returned",许愿要的牌不足时
MSG_SKILL_REFLECT,由于[反射壁]的效果，[{0}]的[{1}]技能被反弹给了[{2}],"Due to [Reflection Wall], [{1}] from [{0}] is reflected to [{2}]",某玩家将某技能反弹给了某玩家
MSG_SKILL_ERROR,非法操作,ERROR,非法操作
MSG_All_IN,[{0}]决定All-in！,[{0}] decide(s) to All-in!!,当某玩家打算all in
MSG_BUY_IN,筹码耗尽，重新买入{0}筹码,"Run out of Chips, rebuy {0} Chips",重新买入筹码
MSG_YOU,你,YOU,你
MSG_SOMEONE,某玩家,SOMEONE,
,,,
LOG_PHASE_PREFLOP,--- 翻牌前 ---,--- PRE-FLOP ---,
LOG_PHASE_FLOP,--- 翻牌圈 ---,--- FLOP ---,
LOG_PHASE_TURN,--- 转牌圈 ---,--- TURN ---,
LOG_PHASE_RIVER,--- 河牌圈 ---,--- RIVER ---,
LOG_PHASE_SHOWDOWN,--- 亮牌 ---,--- SHOWDOWN ---,
LOG_PHASE_HALFTIME,--- 中场休息 ---,--- HALF TIME ---,
LOG_PHASE_GAMEOVER,--- 游戏结束 ---,--- GAME OVER ---,
LOG_ACTION_CHECK,[{0}] 选择过牌,[{0}] Checks,
LOG_ACTION_CALL,[{0}] 选择跟注 {1},[{0}] Calls {1},
LOG_ACTION_CALL_ALLIN,[{0}] 选择All in，跟注 {1},"[{0}] All-in, Calls {1}",
LOG_ACTION_RAISE,[{0}] 选择加注至 {1},[{0}] Raises to {1},
LOG_ACTION_RAISE_ALLIN,[{0}] 选择All in，加注至 {1},"[{0}] All-in, Raises to {1}",
